Código;Código alternativo;Nombre;Marca
56801250;56801250;"LANZA PARA MANGUERA INCENDIO 50.8MM (2"")           (SIN BOQUILLA)";LACAR
75004522;0167;"LANZA PARA MANGUERA INCENDIO 63.5MM (2.1/2"")       (SIN BOQUILLA)";LACAR
70008506;189;"LANZA SIN BOQUILLA LSB 63,5 mm (2 1/2"")";TGB
99992666;10-MFN;LANZA SOLDAR 444,50 mm;VICTOR
75026433;711;LANZA STORZ 38 AL S/BOQ;TGB
90024242;746131;LANZA TERMICA ARC AIR 3/8 X 25 UNIDADES;ESAB
999999441;0702;LANZA TIPO PISTOLA AGUA Y ESPUMA 115/475L/m 1.1/2  , VIPER SG-3012 CAUDAL 115/475L/m 1 1/2 BSP 44.5m;VIPER
70102495;LV301200;"LANZA VIPER SELECTORA DE CAUDAL MOD. SG 3012       , 1.1/2"" BSP/HG,  115/475 LTS/MIN";VIPER
75005516;LV751500;"LANZA VIPER SELECTORA DE CAUDAL MOD. SG 7515       , 1.1/2"" BSP/HG, 265/600 LTS/MIN";VIPER
75027388;LV540000;"LANZA VIPER SELECTORA DE CAUDAL MODELO SG-540      (CAUDAL: 19/37/90/150 LTS/MIN, ENTRADA 1"" BSP/HG";VIPER
96001002;;LAPICERAS;
79919801;;LAPIZ CORRECTOR LIQUID PAPER;LIQUID PAP
90023990;;LAPIZ DE TEMPERATURA  180º C;TEMPILSTIK
90025206;;LAPIZ DE TEMPERATURA  212º C;TEMPILSTIK
90025365;;LAPIZ DE TEMPERATURA  220º C;TEMPILSTIK
37292004;;LAPIZ DE TEMPERATURA 110º;TEMPILSTIK
37291201;;LAPIZ DE TEMPERATURA 120º C;TEMPILSTIK
75018865;;LAPIZ DE TEMPERATURA 130ºC;TEMPILSTIK
90015247;716764;LAPIZ DE TEMPERATURA 152º C;ESAB
37290701;;LAPIZ DE TEMPERATURA 70º;TEMPILSTIK
37291002;;LAPIZ DE TEMPERATURA 80º C;TEMPILSTIK
75014175;;LAPIZ DE TEMPERATURA 90º;TEMPILSTIK
75025783;;LAPIZ DE TEMPERATURA DE 210 GRADOS CENT.;TEMPILSTIK
50001301;F0130290JB;LAPIZ GRABADOR ENGRAVER 290JB;DREMEL
99995812;8315;LAPIZ GRABADOR NEUMATICO C/SIST RED VIBRACION;ARO
37291001;;LAPIZ INDICADOR DE TEMPERATURA  100 ºC;TEMPILSTIK
37291501;;LAPIZ INDICADOR DE TEMPERATURA  150 ºC;TEMPILSTIK
37291003;;LAPIZ INDICADOR DE TEMPERATURA  250 ºC;TEMPILSTIK
37292005;;LAPIZ INDICADOR DE TEMPERATURA  300 ºC;TEMPILSTIK
37292002;28301;LAPIZ INDICADOR DE TEMPERATURA  50 ºC;TEMPILSTIK
